Concurso;Data do Sorteio;Coluna1;Coluna2;Coluna3;Coluna4;Coluna5;Coluna6;Chave 
1711;06/06/2015;22;26;38;39;45;50;2220
1712;10/06/2015;2;12;19;29;50;59;121011
1713;13/06/2015;3;10;16;23;27;29;213000
1714;17/06/2015;2;8;24;36;51;52;201102
1715;20/06/2015;16;20;35;40;53;60;20202
1716;24/06/2015;2;25;36;41;42;53;101121
1717;27/06/2015;2;9;16;37;44;58;210111
1718;01/07/2015;4;30;31;32;47;53;101211
1719;04/07/2015;1;22;31;34;44;54;101211
1720;07/07/2015;18;23;31;39;49;57;11211
1721;09/07/2015;4;12;19;33;36;38;120300
1722;11/07/2015;9;23;39;41;49;58;101121
1723;15/07/2015;14;27;30;46;52;60;12012
1724;18/07/2015;27;33;37;39;58;60;1302
1725;22/07/2015;16;18;26;30;31;34;22200
1726;25/07/2015;3;10;42;49;54;57;200022
1727;29/07/2015;4;6;19;20;40;41;220110
1728;01/08/2015;3;8;28;39;42;59;201111
1729;04/08/2015;7;14;23;43;44;53;111021
1730;06/08/2015;1;10;17;24;42;51;211011
1731;08/08/2015;5;18;27;43;49;59;111021
1732;12/08/2015;25;34;38;45;53;60;1212
1733;15/08/2015;3;5;9;14;41;46;310020
1734;19/08/2015;12;17;25;29;41;52;22011
1735;22/08/2015;6;16;33;34;45;46;110220
1736;26/08/2015;12;13;24;29;32;41;22110
1737;29/08/2015;5;8;42;50;51;59;200022
1738;02/09/2015;12;28;37;46;48;53;11121
1739;05/09/2015;9;10;17;32;34;46;210210
1740;09/09/2015;10;15;25;38;47;53;111111
1741;12/09/2015;15;18;20;32;48;49;30120
1742;16/09/2015;11;19;21;23;27;52;23001
1743;19/09/2015;4;10;29;31;34;35;201300
1744;23/09/2015;9;12;14;29;42;56;121011
1745;26/09/2015;9;13;18;47;52;60;120012
1746;30/09/2015;6;18;37;40;41;58;110211
1747;03/10/2015;6;33;34;48;53;59;100212
1748;07/10/2015;2;10;13;41;49;53;210021
1749;10/10/2015;3;13;14;29;33;43;121110
1750;13/10/2015;15;17;20;31;41;48;30120
1751;15/10/2015;15;22;23;42;51;57;12012
1752;17/10/2015;9;36;37;53;55;60;100203
1753;21/10/2015;8;15;29;35;45;54;111111
1754;24/10/2015;20;27;30;31;40;53;12201
1755;28/10/2015;2;5;8;18;30;48;311010
1756;31/10/2015;6;13;14;28;35;45;121110
1757;04/11/2015;13;25;28;37;43;56;12111
1758;07/11/2015;6;11;16;23;36;42;121110
1759;10/11/2015;2;14;21;22;51;60;112002
1760;13/11/2015;10;24;25;36;47;48;102120
1761;14/11/2015;9;10;36;50;53;55;200112
1762;18/11/2015;26;32;42;45;55;59;1122
1763;21/11/2015;9;12;15;21;31;36;121200
1764;25/11/2015;6;7;29;39;41;55;201111
1765;28/11/2015;1;6;28;37;56;58;201102
1766;02/12/2015;22;23;41;46;53;60;2022
1767;05/12/2015;16;26;35;39;44;45;11220
1768;09/12/2015;5;7;11;34;35;50;210210
1769;12/12/2015;32;37;44;47;54;60;222
1770;16/12/2015;11;26;27;30;34;41;13110
1771;19/12/2015;2;20;27;28;32;38;112200
1772;22/12/2015;12;19;27;39;41;45;21120
1773;24/12/2015;15;30;39;41;45;59;11121
1774;26/12/2015;1;12;20;30;52;60;121002
1775;31/12/2015;2;18;31;42;51;56;110112
1776;02/01/2016;10;11;14;19;39;48;130110
1777;06/01/2016;4;19;38;44;52;55;110112
1778;09/01/2016;4;10;38;40;45;48;200220
1779;12/01/2016;12;25;30;39;56;57;12102
1780;14/01/2016;6;20;22;31;33;34;111300
1781;16/01/2016;1;8;22;49;52;53;201012
1782;20/01/2016;6;18;34;47;52;57;110112
1783;23/01/2016;4;6;16;18;21;38;221100
1784;27/01/2016;4;15;26;30;54;55;112002
1785;30/01/2016;5;11;27;41;42;54;111021
1786;02/02/2016;2;6;8;21;25;34;302100
1787;04/02/2016;1;5;13;25;26;29;213000
1788;06/02/2016;3;13;42;45;56;59;110022
1789;10/02/2016;6;25;43;57;58;59;101013
1790;13/02/2016;11;13;26;27;28;50;23010
1791;17/02/2016;12;18;46;50;53;55;20022
1792;20/02/2016;2;16;17;18;41;47;130020
1793;24/02/2016;13;14;22;54;56;58;21003
1794;27/02/2016;1;5;34;37;40;60;200301
1795;02/03/2016;30;42;47;50;55;58;1032
1796;05/03/2016;22;23;34;48;53;54;2112
1797;08/03/2016;2;13;14;35;54;57;120102
1798;10/03/2016;2;9;23;28;45;53;202011
1799;12/03/2016;1;3;4;39;51;53;300102
1800;16/03/2016;6;11;16;19;31;56;130101
1801;19/03/2016;6;19;34;43;45;54;110121
1802;23/03/2016;2;6;13;14;17;44;230010
1803;26/03/2016;4;8;29;38;49;50;201120
1804;30/03/2016;20;21;28;48;50;59;12021
1805;02/04/2016;17;22;27;31;49;57;12111
1806;06/04/2016;11;20;35;42;55;58;20112
1807;09/04/2016;1;15;16;22;25;43;122010
1808;13/04/2016;2;14;20;25;41;45;121020
1809;16/04/2016;9;12;23;24;46;54;112011
1810;20/04/2016;1;10;25;43;50;56;201021
1811;23/04/2016;5;17;32;35;37;57;110301
1812;27/04/2016;20;23;32;34;37;45;11310
1813;30/04/2016;9;11;13;15;19;51;140001
1814;03/05/2016;9;11;27;46;51;53;111012
1815;05/05/2016;8;11;25;39;41;60;111111
1816;07/05/2016;5;10;12;22;28;46;212010
1817;11/05/2016;1;4;26;39;47;55;201111
1818;14/05/2016;2;6;10;15;53;56;310002
1819;18/05/2016;17;18;26;30;33;37;22200
1820;21/05/2016;3;19;23;27;40;45;112110
1821;25/05/2016;19;22;31;36;52;53;11202
1822;28/05/2016;1;22;26;43;50;53;102021
1823;01/06/2016;4;9;21;34;54;59;201102
1824;04/06/2016;5;6;12;19;30;60;221001
1825;07/06/2016;10;11;21;50;51;54;111012
1826;09/06/2016;17;19;32;43;48;51;20121
1827;11/06/2016;26;33;42;43;53;54;1122
1828;15/06/2016;6;11;32;40;48;59;110211
1829;18/06/2016;7;13;24;30;32;53;112101
1830;22/06/2016;3;7;29;37;54;60;201102
1831;25/06/2016;15;27;28;32;48;55;12111
1832;29/06/2016;14;34;46;47;56;57;10122
1833;02/07/2016;2;3;7;16;27;42;311010
1834;06/07/2016;2;17;22;24;48;51;112011
1835;09/07/2016;8;28;36;47;50;58;101121
1836;12/07/2016;8;15;18;45;59;60;120012
1837;14/07/2016;41;44;48;50;54;57;42
1838;16/07/2016;5;8;24;30;57;59;202002
1839;20/07/2016;7;22;28;32;56;58;102102
1840;23/07/2016;15;17;33;41;47;48;20130
1841;27/07/2016;3;6;13;38;49;51;210111
1842;30/07/2016;16;18;22;24;34;43;22110
1843;03/08/2016;8;26;28;33;41;54;102111
1844;06/08/2016;3;4;37;39;48;50;200220
1845;09/08/2016;3;9;13;29;30;51;212001
1846;11/08/2016;6;24;26;30;34;49;103110
1847;13/08/2016;1;6;45;49;50;57;200031
1848;17/08/2016;9;40;41;50;55;58;100122
1849;20/08/2016;3;5;11;27;35;44;211110
1850;24/08/2016;23;24;32;38;40;41;2310
1851;27/08/2016;8;18;21;22;35;37;112200
1852;31/08/2016;13;17;29;45;49;50;21030
1853;03/09/2016;1;2;34;39;41;45;200220
1854;08/09/2016;25;30;31;34;43;59;2211
1855;10/09/2016;6;10;15;24;38;39;211200
1856;14/09/2016;2;9;14;22;32;37;211200
1857;17/09/2016;13;23;25;35;52;53;12102
1858;20/09/2016;22;28;30;33;55;59;3102
1859;22/09/2016;1;13;14;21;26;51;122001
1860;24/09/2016;10;30;36;40;44;60;101211
1861;28/09/2016;2;4;9;35;45;60;300111
1862;01/10/2016;2;8;35;42;49;56;200121
1863;05/10/2016;16;23;45;56;58;59;11013
1864;08/10/2016;4;5;14;37;40;60;210201
1865;13/10/2016;1;5;31;32;37;42;200310
1866;15/10/2016;14;17;36;38;44;60;20211
1867;18/10/2016;3;10;17;21;22;43;212010
1868;20/10/2016;1;5;23;25;28;31;203100
1869;22/10/2016;11;23;24;26;40;52;13101
1870;26/10/2016;18;20;30;32;33;40;21300
1871;29/10/2016;3;11;17;33;52;58;120102
1872;03/11/2016;11;13;25;39;46;56;21111
1873;05/11/2016;5;25;28;41;53;54;102012
1874;08/11/2016;10;28;37;43;44;47;101130
1875;10/11/2016;1;45;47;52;53;55;100023
1876;12/11/2016;7;18;39;41;44;51;110121
1877;16/11/2016;13;16;23;24;32;35;22200
1878;19/11/2016;12;16;26;40;56;57;21102
1879;23/11/2016;5;10;20;57;58;59;210003
1880;26/11/2016;5;16;19;37;51;56;120102
1881;30/11/2016;3;10;30;44;53;56;201012
1882;03/12/2016;9;10;19;35;37;41;210210
1883;07/12/2016;16;27;28;47;59;60;12012
1884;10/12/2016;1;4;23;32;38;59;201201
1885;14/12/2016;7;14;18;23;32;59;121101
1886;17/12/2016;3;7;15;40;45;54;210111
1887;20/12/2016;11;23;34;41;46;56;11121
1888;22/12/2016;1;10;17;18;45;48;220020
1889;24/12/2016;16;23;25;28;30;44;14010
1890;31/12/2016;5;11;22;24;51;53;112002
1891;04/01/2017;1;3;19;23;47;58;211011
1892;07/01/2017;6;17;22;30;37;50;112110
1893;11/01/2017;16;17;19;28;45;58;31011
1894;14/01/2017;21;31;35;53;54;57;1203
1895;18/01/2017;2;3;5;10;15;34;410100
1896;21/01/2017;3;6;14;15;21;25;222000
1897;25/01/2017;9;22;25;47;52;58;102012
1898;28/01/2017;12;34;45;53;55;58;10113
1899;01/02/2017;20;23;35;36;44;48;11220
1900;04/02/2017;8;11;27;28;43;46;112020
1901;08/02/2017;11;12;26;30;37;53;22101
1902;11/02/2017;2;7;9;18;21;25;312000
1903;15/02/2017;9;10;15;28;43;45;211020
1904;18/02/2017;12;15;18;21;51;56;31002
1905;21/02/2017;29;35;43;54;56;57;1113
1906;23/02/2017;6;27;33;39;40;60;101301
1907;25/02/2017;3;25;35;38;44;48;101220
1908;01/03/2017;4;10;13;23;27;57;212001
1909;04/03/2017;11;40;43;45;47;57;10131
1910;08/03/2017;6;9;15;22;39;48;211110
1911;11/03/2017;16;18;23;30;32;33;22200
1912;15/03/2017;10;13;33;35;36;42;110310
1913;18/03/2017;4;14;17;43;52;56;120012
1914;22/03/2017;16;29;33;39;42;44;11220
1915;25/03/2017;2;20;21;33;48;57;111111
1916;29/03/2017;3;9;18;23;50;52;211011
1917;01/04/2017;4;21;25;33;36;46;102210
1918;05/04/2017;16;17;20;22;38;50;31110
1919;08/04/2017;11;28;37;45;54;60;11112
1920;12/04/2017;25;31;33;39;43;45;1320
1921;15/04/2017;10;15;16;19;28;35;131100
1922;19/04/2017;20;22;36;38;41;43;11220
1923;22/04/2017;9;34;42;45;46;59;100131
1924;26/04/2017;12;16;30;52;53;58;21003
1925;29/04/2017;1;17;38;43;45;47;110130
1926;03/05/2017;2;3;14;20;30;46;221010
1927;06/05/2017;5;11;13;19;30;31;131100
1928;09/05/2017;10;26;28;51;53;59;102003
1929;11/05/2017;3;10;23;36;43;52;201111
1930;13/05/2017;4;17;18;37;52;56;120102
1931;17/05/2017;2;8;9;15;22;34;311100
1932;20/05/2017;10;16;21;29;44;55;112011
1933;24/05/2017;2;14;15;19;35;59;130101
1934;27/05/2017;8;23;35;39;56;59;101202
1935;31/05/2017;1;3;10;17;23;24;312000
1936;03/06/2017;3;12;24;40;51;52;111102
1937;07/06/2017;6;10;24;29;43;55;202011
1938;10/06/2017;10;16;32;40;42;54;110211
1939;14/06/2017;7;24;29;39;45;52;102111
1940;17/06/2017;9;13;16;17;36;47;130110
1941;21/06/2017;1;9;24;38;48;49;201120
1942;24/06/2017;6;18;20;24;43;48;121020
1943;28/06/2017;9;11;12;30;39;43;121110
1944;01/07/2017;8;9;39;47;57;59;200112
1945;04/07/2017;4;8;10;21;45;54;301011
1946;06/07/2017;4;6;39;44;52;60;200112
1947;08/07/2017;8;33;40;52;55;59;100203
1948;12/07/2017;12;20;24;28;33;57;22101
1949;15/07/2017;1;6;14;22;30;56;212001
1950;19/07/2017;10;21;32;34;48;57;101211
1951;22/07/2017;14;16;19;21;33;55;31101
1952;26/07/2017;9;21;36;38;52;53;101202
1953;29/07/2017;9;26;29;42;43;45;102030
1954;02/08/2017;9;25;33;35;40;49;101310
1955;05/08/2017;15;27;33;36;41;45;11220
1956;08/08/2017;5;8;20;28;40;45;211110
1957;10/08/2017;2;14;22;23;29;47;113010
1958;12/08/2017;15;20;22;24;34;55;22101
1959;16/08/2017;8;21;27;35;43;56;102111
1960;19/08/2017;1;18;25;37;39;43;111210
1961;23/08/2017;17;25;26;30;32;50;13110
1962;26/08/2017;5;6;15;25;39;53;211101
1963;30/08/2017;4;5;7;34;42;60;300111
1964;02/09/2017;2;27;32;36;48;50;101220
1965;06/09/2017;26;28;35;38;48;55;2211
1966;09/09/2017;10;13;19;32;40;60;120201
1967;13/09/2017;13;30;32;39;46;54;11211
1968;16/09/2017;35;36;39;44;48;52;321
1969;19/09/2017;8;20;30;32;48;59;111111
1970;21/09/2017;5;10;18;24;39;52;211101
1971;23/09/2017;4;10;41;44;52;54;200022
1972;27/09/2017;9;16;20;54;57;59;120003
1973;30/09/2017;1;12;16;17;52;60;130002
1974;04/10/2017;4;19;27;38;54;57;111102
1975;07/10/2017;8;11;24;26;47;57;112011
1976;11/10/2017;12;14;19;25;52;59;31002
1977;14/10/2017;3;16;28;32;34;37;111300
1978;17/10/2017;2;6;22;44;55;57;201012
1979;19/10/2017;22;23;29;32;38;45;3210
1980;21/10/2017;12;16;17;18;34;37;40200
1981;25/10/2017;6;15;19;37;39;53;120201
1982;28/10/2017;4;14;20;24;46;50;121020
1983;01/11/2017;5;6;10;14;22;36;311100
1984;04/11/2017;21;29;32;35;43;50;2220
1985;07/11/2017;9;28;29;34;36;55;102201
1986;09/11/2017;23;36;43;44;55;56;1122
1987;11/11/2017;10;14;31;34;45;58;110211
1988;16/11/2017;5;10;39;42;46;54;200121
1989;18/11/2017;15;22;30;32;40;58;12201
1990;22/11/2017;11;24;26;34;37;59;12201
1991;25/11/2017;19;20;28;34;36;44;21210
1992;29/11/2017;5;11;13;21;53;54;121002
1993;02/12/2017;6;17;33;48;50;57;110121
1994;06/12/2017;2;5;12;32;40;44;210210
1995;09/12/2017;14;26;29;35;37;39;12300
1996;13/12/2017;7;20;21;24;40;56;112101
1997;16/12/2017;1;7;14;31;35;46;210210
1998;19/12/2017;8;21;24;25;52;57;103002
1999;21/12/2017;15;37;38;42;49;50;10230
2000;31/12/2017;3;6;10;17;34;37;310200
2001;03/01/2018;20;22;36;42;52;60;11112
2002;06/01/2018;4;28;30;38;46;59;102111
2003;10/01/2018;28;34;40;43;50;51;1221
2004;13/01/2018;1;5;14;23;35;45;211110
2005;17/01/2018;11;19;22;33;34;53;21201
2006;20/01/2018;1;9;14;20;25;54;221001
2007;24/01/2018;4;14;39;41;54;58;110112
2008;27/01/2018;22;27;33;42;58;59;2112
2009;31/01/2018;1;37;44;46;48;50;100140
2010;03/02/2018;8;10;18;34;39;56;210201
2011;06/02/2018;2;28;32;35;54;58;101202
2012;08/02/2018;8;11;27;35;36;51;111201
2013;10/02/2018;6;23;30;36;53;56;102102
2014;14/02/2018;16;32;40;46;53;56;10212
2015;17/02/2018;17;18;27;32;39;58;21201
2016;21/02/2018;4;11;17;18;21;48;131010
2017;24/02/2018;2;10;11;24;38;56;211101
2018;28/02/2018;11;22;25;27;55;59;13002
2019;03/03/2018;23;41;46;52;54;59;1023
2020;07/03/2018;2;36;46;48;57;60;100122
2021;10/03/2018;7;14;32;37;40;60;110301
2022;14/03/2018;4;28;45;48;52;60;101022
2023;17/03/2018;1;6;7;8;23;56;401001
2024;21/03/2018;16;20;23;29;35;47;22110
2025;24/03/2018;4;24;46;52;55;56;101013
2026;28/03/2018;10;23;31;33;51;52;101202
2027;31/03/2018;11;15;29;37;39;44;21210
2028;04/04/2018;7;11;24;36;42;58;111111
2029;07/04/2018;6;15;18;33;37;40;120300
2030;11/04/2018;4;27;38;40;58;59;101202
2031;14/04/2018;18;23;37;39;50;55;11211
2032;17/04/2018;6;14;19;20;39;53;130101
2033;20/04/2018;10;18;33;38;40;43;110310
2034;25/04/2018;6;7;13;17;22;56;221001
2035;28/04/2018;30;35;36;38;49;52;1311
2036;02/05/2018;7;8;19;23;27;58;212001
2037;05/05/2018;14;16;23;30;45;60;22011
2038;08/05/2018;6;25;26;35;38;40;102300
2039;10/05/2018;6;12;22;28;31;44;112110
2040;12/05/2018;6;9;41;54;56;58;200013
2041;16/05/2018;10;12;22;25;42;54;112011
2042;19/05/2018;14;22;29;32;33;35;12300
2043;23/05/2018;21;38;53;56;57;58;1104
2044;26/05/2018;7;14;47;54;56;60;110013
2045;30/05/2018;15;25;27;45;46;50;12030
2046;02/06/2018;3;6;11;27;28;46;212010
2047;06/06/2018;1;18;19;29;44;54;121011
2048;09/06/2018;10;19;26;35;38;39;111300
2049;13/06/2018;10;19;27;31;51;53;111102
2050;16/06/2018;8;31;32;33;38;50;100410
2051;20/06/2018;1;5;6;37;44;53;300111
2052;23/06/2018;50;51;56;57;58;59;15
2053;27/06/2018;12;22;27;37;40;55;12201
2054;30/06/2018;4;7;12;22;26;39;212100
2055;03/07/2018;6;25;35;43;46;53;101121
2056;05/07/2018;18;22;29;34;36;47;12210
2057;07/07/2018;10;13;20;37;38;54;120201
2058;11/07/2018;4;19;23;29;56;59;112002
2059;14/07/2018;4;5;36;40;44;56;200211
2060;18/07/2018;8;9;11;25;39;41;211110
2061;21/07/2018;33;36;40;44;45;54;321
2062;25/07/2018;8;10;15;23;25;34;212100
2063;28/07/2018;6;10;19;24;25;29;213000
2064;01/08/2018;10;14;36;53;55;60;110103
2065;04/08/2018;4;11;20;30;37;43;121110
2066;08/08/2018;6;25;27;35;45;55;102111
2067;11/08/2018;2;11;13;26;32;59;121101
2068;14/08/2018;3;5;9;40;42;47;300120
2069;16/08/2018;3;17;34;35;40;48;110310
2070;18/08/2018;5;26;27;34;42;48;102120
2071;22/08/2018;24;33;34;35;46;60;1311
2072;25/08/2018;10;12;13;20;22;54;131001
2073;29/08/2018;12;15;18;30;52;55;31002
2074;01/09/2018;8;18;23;37;42;58;111111
2075;05/09/2018;7;9;23;33;57;59;201102
2076;08/09/2018;5;6;12;15;22;43;221010
2077;12/09/2018;13;16;26;35;37;39;21300
2078;15/09/2018;2;11;15;30;36;39;121200
2079;18/09/2018;1;2;14;37;55;58;210102
2080;20/09/2018;10;22;40;46;55;58;101112
2081;22/09/2018;13;18;35;40;41;42;20220
2082;26/09/2018;6;25;33;42;48;49;101130
2083;29/09/2018;1;18;19;33;56;60;120102
2084;03/10/2018;7;20;26;37;38;39;111300
2085;06/10/2018;12;21;25;37;38;49;12210
2086;10/10/2018;4;35;43;46;47;53;100131
2087;13/10/2018;2;18;19;23;34;53;121101
2088;17/10/2018;3;14;24;27;38;56;112101
2089;20/10/2018;5;10;32;38;48;49;200220
2090;23/10/2018;8;11;18;37;40;51;120201
2091;25/10/2018;10;11;12;37;38;59;120201
2092;27/10/2018;11;13;15;17;22;27;42000
2093;31/10/2018;8;14;27;34;52;54;111102
2094;03/11/2018;4;16;19;31;33;44;120210
2095;07/11/2018;16;29;35;43;49;56;11121
2096;10/11/2018;6;11;13;19;24;51;131001
2097;14/11/2018;9;24;28;45;49;51;102021
2098;17/11/2018;2;8;18;27;38;60;211101
2099;21/11/2018;5;15;20;27;30;58;122001
2100;24/11/2018;1;10;11;13;35;49;220110
2101;28/11/2018;2;8;18;37;56;58;210102
2102;01/12/2018;4;6;17;34;51;57;210102
2103;04/12/2018;3;13;40;44;46;50;110130
2104;06/12/2018;2;10;12;27;45;56;211011
2105;08/12/2018;11;13;16;24;31;46;31110
2106;12/12/2018;3;27;36;39;40;43;101310
2107;15/12/2018;8;38;44;50;56;60;100122
2108;18/12/2018;19;22;29;41;44;59;12021
2109;20/12/2018;4;12;16;34;44;49;120120
2110;31/12/2018;5;10;12;18;25;33;221100
2111;02/01/2019;1;41;44;46;54;58;100032
2112;05/01/2019;17;39;43;46;52;53;10122
2113;09/01/2019;11;14;21;25;46;50;22020
2114;12/01/2019;17;25;30;35;42;57;12111
2115;15/01/2019;4;19;27;35;40;44;111210
2116;17/01/2019;1;9;19;21;34;54;211101
2117;19/01/2019;4;28;29;30;43;52;103011
2118;23/01/2019;11;12;20;40;41;46;30120
2119;26/01/2019;19;21;26;31;42;49;12120
2120;30/01/2019;13;20;24;25;38;41;22110
2121;02/02/2019;8;10;17;29;37;40;211200
2122;06/02/2019;3;11;15;21;27;49;122010
2123;09/02/2019;14;15;47;50;56;59;20022
2124;13/02/2019;2;11;20;31;43;47;120120
2125;16/02/2019;1;31;44;46;53;58;100122
2126;20/02/2019;7;12;24;27;39;58;112101
2127;23/02/2019;1;7;28;30;44;46;202020
2128;26/02/2019;11;16;24;46;54;55;21012
2129;28/02/2019;6;12;31;32;46;60;110211
2130;02/03/2019;13;16;36;53;54;55;20103
2131;06/03/2019;2;3;6;18;20;28;321000
2132;09/03/2019;5;18;30;35;39;60;111201
2133;13/03/2019;19;20;26;51;52;57;21003
2134;16/03/2019;6;21;34;46;54;59;101112
2135;20/03/2019;9;23;28;40;48;59;102111
2136;23/03/2019;1;8;11;22;30;35;212100
2137;27/03/2019;1;2;11;12;34;49;220110
2138;30/03/2019;4;13;14;21;30;34;122100
2139;03/04/2019;14;23;29;41;57;58;12012
2140;06/04/2019;17;20;26;36;42;54;21111
2141;10/04/2019;10;11;17;19;37;41;130110
2142;13/04/2019;7;40;44;50;52;57;100122
2143;17/04/2019;2;12;35;51;57;58;110103
2144;20/04/2019;7;16;21;33;55;60;111102
2145;24/04/2019;6;8;28;51;53;59;201003
2146;27/04/2019;16;18;31;39;42;44;20220
2147;02/05/2019;17;19;37;41;42;49;20130
2148;04/05/2019;8;15;32;33;58;59;110202
2149;08/05/2019;21;23;37;44;46;48;2130
2150;11/05/2019;23;24;26;38;42;49;3120
2151;15/05/2019;2;14;18;29;36;38;121200
2152;18/05/2019;26;29;36;49;50;59;2121
2153;22/05/2019;8;13;28;31;32;33;111300
2154;25/05/2019;7;25;41;47;50;53;101031
2155;29/05/2019;2;6;27;37;44;47;201120
2156;01/06/2019;1;6;23;26;39;49;202110
2157;05/06/2019;31;33;34;35;39;48;510
2158;08/06/2019;9;27;35;45;46;59;101121
2159;12/06/2019;14;26;35;38;45;53;11211
2160;15/06/2019;1;19;46;47;49;53;110031
2161;19/06/2019;8;9;10;24;42;44;301020
2162;22/06/2019;11;16;22;30;34;42;22110
2163;26/06/2019;8;18;20;24;36;45;121110
2164;29/06/2019;16;17;25;47;48;58;21021
2165;03/07/2019;5;37;43;49;54;56;100122
2166;06/07/2019;3;19;34;44;56;58;110112
2167;09/07/2019;27;37;38;43;45;54;1221
2168;11/07/2019;1;4;25;27;29;37;203100
2169;13/07/2019;7;34;45;51;54;59;100113
2170;17/07/2019;10;21;24;36;38;51;102201
2171;20/07/2019;12;13;19;36;44;55;30111
2172;24/07/2019;9;24;28;37;43;57;102111
2173;27/07/2019;2;9;42;44;48;50;200040
2174;31/07/2019;10;15;34;36;56;60;110202
2175;03/08/2019;7;25;32;43;53;55;101112
2176;06/08/2019;8;23;25;39;43;44;102120
2177;08/08/2019;9;11;14;31;48;51;120111
2178;10/08/2019;2;16;21;42;50;56;111021
2179;14/08/2019;2;13;24;35;50;54;111111
2180;17/08/2019;10;12;16;21;28;38;122100
2181;21/08/2019;1;8;19;33;36;48;210210
2182;24/08/2019;19;22;39;46;47;59;11121
2183;28/08/2019;13;26;30;34;43;51;12111
2184;31/08/2019;15;36;45;51;52;59;10113
2185;04/09/2019;9;18;19;22;42;47;121020
2186;09/09/2019;12;18;19;27;41;46;31020
2187;11/09/2019;10;11;16;21;46;50;121020
2188;14/09/2019;2;17;21;28;51;60;112002
2189;18/09/2019;4;11;16;22;29;33;122100
2190;21/09/2019;5;9;20;25;35;53;211101
2191;24/09/2019;4;8;26;33;46;53;201111
2192;26/09/2019;7;16;37;53;57;59;110103
2193;28/09/2019;7;8;22;27;29;42;203010
2194;02/10/2019;8;16;20;21;31;34;121200
2195;05/10/2019;14;24;32;38;46;53;11211
2196;09/10/2019;1;25;27;28;41;56;103011
2197;14/10/2019;3;11;29;35;44;57;111111
2198;16/10/2019;1;11;34;36;44;56;110211
2199;19/10/2019;15;23;30;35;38;44;12210
2200;22/10/2019;11;15;28;36;43;55;21111
2201;24/10/2019;3;13;23;41;49;53;111021
2202;26/10/2019;11;29;37;38;43;60;11211
2203;30/10/2019;17;34;46;49;50;57;10131
2204;04/11/2019;1;28;29;32;35;56;102201
2205;06/11/2019;12;21;28;37;42;57;12111
2206;09/11/2019;6;27;38;42;45;57;101121
2207;13/11/2019;6;10;11;43;53;55;210012
2208;16/11/2019;16;25;30;40;45;49;12120
2209;20/11/2019;22;25;28;32;33;47;3210
2210;23/11/2019;11;17;24;25;33;34;22200
2211;27/11/2019;27;36;40;41;44;54;1221
2212;30/11/2019;23;26;51;52;53;58;2004
2213;04/12/2019;5;7;10;32;46;60;300111
2214;07/12/2019;4;10;18;30;34;47;211110
2215;11/12/2019;1;19;21;23;33;43;112110
2216;14/12/2019;10;24;42;43;48;49;101040
2217;17/12/2019;10;14;16;30;32;36;121200
2218;19/12/2019;6;16;22;38;48;52;111111
2219;21/12/2019;8;28;36;45;57;59;101112
2220;31/12/2019;3;35;38;40;57;58;100302
2221;04/01/2020;5;23;34;45;56;57;101112
2222;08/01/2020;13;14;29;30;48;59;22011
2223;11/01/2020;2;26;40;42;49;56;101121
2224;15/01/2020;16;23;32;50;52;58;11112
2225;18/01/2020;1;32;37;44;46;47;100230
2226;21/01/2020;2;4;7;16;30;38;311100
2227;23/01/2020;6;9;12;27;32;57;211101
2228;25/01/2020;9;19;23;32;39;45;111210
2229;29/01/2020;6;11;29;40;41;58;111111
2230;01/02/2020;7;17;26;39;56;60;111102
2231;05/02/2020;4;13;25;40;53;57;111102
2232;08/02/2020;7;8;31;34;38;47;200310
2233;12/02/2020;4;6;32;35;41;45;200220
2234;15/02/2020;4;21;27;29;42;47;103020
2235;19/02/2020;14;18;30;35;55;57;21102
2236;22/02/2020;7;20;38;43;45;53;110121
2237;27/02/2020;11;20;27;28;53;60;22002
2238;29/02/2020;11;36;45;55;57;58;10113
2239;04/03/2020;7;27;31;39;45;46;101220
2240;07/03/2020;7;9;10;19;25;58;311001
2241;10/03/2020;1;13;18;26;40;56;121101
2242;12/03/2020;5;9;18;24;25;42;212010
2243;14/03/2020;14;18;28;35;38;54;21201
2244;18/03/2020;3;5;11;34;37;42;210210
2245;21/03/2020;11;14;15;18;33;34;40200
2246;25/03/2020;5;9;24;27;33;46;202110
2247;28/03/2020;1;42;44;47;48;53;100041
2248;01/04/2020;9;15;20;29;30;42;122010
2249;04/04/2020;4;9;31;47;49;53;200121
2250;08/04/2020;27;33;39;52;57;58;1203
2251;11/04/2020;5;15;22;26;54;58;112002
2252;15/04/2020;1;17;30;37;46;50;111120
2253;18/04/2020;31;32;33;39;52;55;402
2254;22/04/2020;4;9;24;44;47;56;201021
2255;25/04/2020;15;20;39;41;49;57;20121
2256;29/04/2020;9;10;30;37;47;54;201111
2257;02/05/2020;18;21;30;31;34;51;12201
2258;05/05/2020;1;5;7;14;23;26;312000
2259;07/05/2020;20;27;41;54;56;58;11013
2260;09/05/2020;12;14;34;35;37;47;20310
2261;13/05/2020;7;23;26;27;29;51;104001
2262;16/05/2020;7;8;14;23;30;46;212010
2263;20/05/2020;9;24;33;43;49;57;101121
2264;23/05/2020;2;3;8;19;29;37;311100
2265;27/05/2020;14;20;23;39;46;50;21120
2266;30/05/2020;10;23;31;37;58;59;101202
2267;03/06/2020;20;32;33;48;49;53;10221
2268;06/06/2020;4;13;23;28;30;52;113001
